SiteID,Samp_Date,AirTemperature_C
Met_Station01,2015-10-02 06:45:00.000,6.584
Met_Station01,2015-10-02 07:00:00.000,7.546
Met_Station01,2015-10-02 07:15:00.000,7.4
Met_Station01,2015-10-02 07:30:00.000,7.004
Met_Station01,2015-10-02 07:45:00.000,7.056
Met_Station01,2015-10-02 08:00:00.000,7.056
Met_Station01,2015-10-02 08:15:00.000,7.829
Met_Station01,2015-10-02 08:30:00.000,9.77
Met_Station01,2015-10-02 08:45:00.000,10.67
Met_Station01,2015-10-02 09:00:00.000,11.16
Met_Station01,2015-10-02 09:15:00.000,11.69
Met_Station01,2015-10-02 09:30:00.000,12.72
Met_Station01,2015-10-02 09:45:00.000,13.11
Met_Station01,2015-10-02 10:00:00.000,13.7
Met_Station01,2015-10-02 10:15:00.000,13.35
Met_Station01,2015-10-02 10:30:00.000,13.98
Met_Station01,2015-10-02 10:45:00.000,14.2
Met_Station01,2015-10-02 11:00:00.000,14.37
Met_Station01,2015-10-02 11:15:00.000,14.78
Met_Station01,2015-10-02 11:30:00.000,15.27
Met_Station01,2015-10-02 11:45:00.000,15.26
Met_Station01,2015-10-02 12:00:00.000,14.81
Met_Station01,2015-10-02 12:15:00.000,14.7
Met_Station01,2015-10-02 12:30:00.000,14.16
Met_Station01,2015-10-02 12:45:00.000,13.7
Met_Station01,2015-10-02 13:00:00.000,14.63
Met_Station01,2015-10-02 13:15:00.000,14.9
Met_Station01,2015-10-02 13:30:00.000,14.88
Met_Station01,2015-10-02 13:45:00.000,14.73
Met_Station01,2015-10-02 14:00:00.000,14.61
Met_Station01,2015-10-02 14:15:00.000,14.46
Met_Station01,2015-10-02 14:30:00.000,14.82
Met_Station01,2015-10-02 14:45:00.000,14.45
Met_Station01,2015-10-02 15:00:00.000,13.52
Met_Station01,2015-10-02 15:15:00.000,13.48
Met_Station01,2015-10-02 15:30:00.000,13.65
Met_Station01,2015-10-02 15:45:00.000,13.18
Met_Station01,2015-10-02 16:00:00.000,12.22
Met_Station01,2015-10-02 16:15:00.000,12.34
Met_Station01,2015-10-02 16:30:00.000,11.53
Met_Station01,2015-10-02 16:45:00.000,10.1
