SiteID,Longitude,Latitude
Met_Station01,-106.216416666603,41.3468333320839
NN_NF_Tower,-106.217393609718,41.3440438030124
NN_Trench_Tower,-106.212462365043,41.3438039969373
Repeater_Station01,-106.212561457975,41.3434622717839
