SiteID	Locality	WKTShape_AEA	CRS
V02_FOR_F	Panama Agua Salud	POINT (1933187.58432148 -1287453.59231965)	+proj=aea +lat_1=29.5 +lat_2=45.5 +lat_0=23 +lon_0=-96 +x_0=0 +y_0=0 +datum=NAD83 +units=m +no_defs +ellps=GRS80 +towgs84=0,0,0
V10_SAC_R	Panama Agua Salud	POINT (1955349.31519752 -1295191.417025)	+proj=aea +lat_1=29.5 +lat_2=45.5 +lat_0=23 +lon_0=-96 +x_0=0 +y_0=0 +datum=NAD83 +units=m +no_defs +ellps=GRS80 +towgs84=0,0,0
